elapsed_sec,step,loss,l1,dssim,ssim,ssim_weight,opacity_reg,size_reg,sigma_reg,sigma_mean,sigma_min,sigma_max,depth_min,depth_mean,depth_max,num_triangles,step_time_sec
15811.822735,650,0.02461565,0.02457684,0.00000000,0.00000000,0.00000000,0.03471494,0.03878415,0.00213545,1.12262416,1.08682609,1.19106174,0.00101279,0.63581932,0.99942034,1366,30.49433351
16566.857017,675,0.02442674,0.02439026,0.00000000,0.00000000,0.00000000,0.03235534,0.03897828,0.00227938,1.12133300,1.08476090,1.19074392,0.00101279,0.63581932,0.99942034,1366,29.81794691
17278.978923,700,0.02431278,0.02427824,0.00000000,0.00000000,0.00000000,0.03037939,0.03911315,0.00242559,1.12005293,1.08273721,1.19043028,0.00101279,0.63581932,0.99942034,1366,29.63876987
18008.724072,725,0.02418352,0.02415067,0.00000000,0.00000000,0.00000000,0.02867161,0.03922318,0.00257284,1.11879349,1.08079779,1.19012046,0.00101279,0.63581932,0.99942034,1366,29.36563897
18734.531951,750,0.02409018,0.02405883,0.00000000,0.00000000,0.00000000,0.02713069,0.03938073,0.00272096,1.11754644,1.07893801,1.18981469,0.00101279,0.63581932,0.99942034,1366,29.85601187
19484.903463,775,0.02400600,0.02397594,0.00000000,0.00000000,0.00000000,0.02581392,0.03955270,0.00286979,1.11632717,1.07717085,1.18951273,0.00101279,0.63581932,0.99942034,1366,31.41162014
20423.532037,800,0.02393156,0.02390259,0.00000000,0.00000000,0.00000000,0.02470039,0.03967363,0.00301932,1.11397433,1.07545924,1.18921447,0.00101279,0.63054109,0.99942034,1323,39.68040490
21218.298312,825,0.02411816,0.02404151,0.05486290,0.89027420,0.00156250,0.02407014,0.04099374,0.00324846,1.11298227,1.07379496,1.19103360,0.00101279,0.63054109,0.99942034,1323,34.22623515
22087.848591,850,0.02384130,0.02371820,0.05437713,0.89124573,0.00312500,0.02284788,0.04106621,0.00340342,1.11183429,1.07200491,1.19197977,0.00101279,0.63054109,0.99942034,1323,35.31728888
22852.131764,875,0.02379041,0.02362070,0.05422591,0.89154819,0.00468750,0.02176934,0.04122455,0.00356715,1.11063147,1.07029772,1.19374633,0.00101279,0.63054109,0.99942034,1323,32.54483652
23545.417721,900,0.02378093,0.02356605,0.05388935,0.89222131,0.00625000,0.02085141,0.04128566,0.00373333,1.10944223,1.06867599,1.19559085,0.00101279,0.63054109,0.99942034,1323,26.12096906
24199.810709,925,0.02380690,0.02354655,0.05372258,0.89255484,0.00781250,0.02007240,0.04137817,0.00390108,1.10826242,1.06713605,1.19717062,0.00101279,0.63054109,0.99942034,1323,26.09963965
24844.239056,950,0.02383664,0.02353002,0.05368165,0.89263669,0.00937500,0.01940362,0.04142786,0.00407039,1.10709643,1.06566775,1.19854462,0.00101279,0.63054109,0.99942034,1323,24.32113266
25459.095723,975,0.02391841,0.02356569,0.05367687,0.89264626,0.01093750,0.01881360,0.04145487,0.00424094,1.10594726,1.06424141,1.19991338,0.00101279,0.63054109,0.99942034,1323,23.89196396
26097.543807,1000,0.02400395,0.02360443,0.05373658,0.89252685,0.01250000,0.01827760,0.04149620,0.00441193,1.10361588,1.06286144,1.20038080,0.00101279,0.62572420,0.99942034,1291,25.82640862
26711.278913,1025,0.02441363,0.02396643,0.05414967,0.89170066,0.01406250,0.01803927,0.04244517,0.00466296,1.10271561,1.06143892,1.20298302,0.00101279,0.62572420,0.99942034,1291,25.11540389
