elapsed_sec,step,loss,l1,dssim,ssim,ssim_weight,opacity_reg,size_reg,sigma_reg,sigma_mean,sigma_min,sigma_max,depth_min,depth_mean,depth_max,num_triangles,step_time_sec
18158.695125,650,0.11931824,0.11309665,0.23574957,0.52850087,0.05000000,0.08650903,0.02311540,0.00118383,1.14098096,1.08527339,1.23122025,0.00101279,0.65443677,1.00114346,1999,50.32775140
19531.440260,675,0.11878246,0.11253146,0.23582538,0.52834924,0.05000000,0.08385926,0.02319597,0.00124760,1.14058852,1.08362210,1.23664463,0.00101279,0.65443677,1.00114346,1999,51.29667354
20835.334417,700,0.11899390,0.11277885,0.23540103,0.52919794,0.05000000,0.08147309,0.02337636,0.00131274,1.14019620,1.08155453,1.24060702,0.00101279,0.65443677,1.00114346,1999,53.31888103
22117.749232,725,0.11789039,0.11168127,0.23422495,0.53155009,0.05000000,0.07943633,0.02361314,0.00137909,1.13982069,1.08032763,1.24449003,0.00101279,0.65443677,1.00114346,1999,53.15110254
23334.309185,750,0.11957641,0.11348881,0.23364210,0.53271579,0.05000000,0.07741339,0.02377092,0.00144667,1.13939381,1.07929564,1.25008321,0.00101279,0.65443677,1.00114346,1999,46.00050473
24544.881991,775,0.12028413,0.11424981,0.23337191,0.53325617,0.05000000,0.07567469,0.02391990,0.00151224,1.13894427,1.07766962,1.25684571,0.00101279,0.65443677,1.00114346,1999,47.75650692
25772.820211,800,0.11882510,0.11275817,0.23256029,0.53487942,0.05000000,0.07427754,0.02395624,0.00157795,1.13854790,1.07596552,1.26154232,0.00101279,0.65520698,1.00114346,1998,48.43573356
27127.296699,825,0.11668203,0.11056983,0.23128845,0.53742311,0.05000000,0.07367852,0.02435192,0.00166360,1.13813519,1.07416940,1.26685047,0.00101279,0.65520698,1.00114346,1998,59.00569677
28544.956543,850,0.11563404,0.10947695,0.23114748,0.53770504,0.05000000,0.07094646,0.02442832,0.00173439,1.13773501,1.07237959,1.27089441,0.00101279,0.65520698,1.00114346,1998,49.32887626
29846.431414,875,0.11577574,0.10964038,0.23092080,0.53815839,0.05000000,0.06872228,0.02433450,0.00180340,1.13740778,1.07064617,1.27550042,0.00101279,0.65520698,1.00114346,1998,51.23035574
31108.521431,900,0.11737451,0.11132435,0.23094423,0.53811153,0.05000000,0.06654092,0.02440410,0.00187240,1.13700366,1.06882727,1.27807784,0.00101279,0.65520698,1.00114346,1998,49.34880996
